_id,usuario_id,restaurante_id,orden_id,calificacion,comentario,fecha
res0,user59,rest46,ord48528,2,Report Mr accept tonight.,2025-04-30T15:27:23
res1,user128,rest22,ord34807,3,Network condition exist happy lead bill personal.,2025-05-02T06:32:43
res2,user123,rest36,ord35862,5,Lot animal into capital begin risk sometimes.,2024-12-08T18:47:08
res3,user119,rest28,ord37490,2,Service federal ten else action play somebody.,2024-11-25T22:35:23
res4,user125,rest32,ord35318,3,Citizen weight seat performance movement cultural.,2025-04-14T08:44:54
res5,user74,rest43,ord32671,1,Treatment exactly read time question bill reach.,2024-11-13T03:54:40
res6,user74,rest24,ord40984,5,Or space space read physical significant.,2025-02-27T04:15:46
res7,user101,rest38,ord34097,2,Writer much bed provide close sense something.,2024-11-16T05:57:38
res8,user122,rest41,ord29015,1,Democratic benefit address nice although group statement.,2024-11-11T21:50:00
res9,user160,rest28,ord34158,2,Sure themselves collection another.,2025-03-11T09:16:23
res10,user173,rest10,ord40405,5,Responsibility leader difficult he front goal.,2025-04-24T20:59:22
res11,user4,rest4,ord39138,2,Black but just her baby relate charge occur.,2025-04-23T12:45:03
res12,user103,rest44,ord48766,5,Must however them cover task approach.,2025-04-05T00:06:00
res13,user30,rest5,ord23409,1,During technology message could certain art.,2024-12-03T05:00:46
res14,user20,rest9,ord9413,3,For every animal near.,2025-04-30T20:40:06
res15,user93,rest34,ord30555,1,Hit environmental partner.,2025-02-21T00:18:25
res16,user125,rest0,ord37539,5,Standard state town television marriage best style.,2025-05-01T01:36:25
res17,user82,rest27,ord28592,1,Player explain bring argue anything.,2024-11-05T07:17:36
res18,user106,rest18,ord11226,4,Hope music middle yeah whose drive.,2025-03-22T14:19:42
res19,user148,rest3,ord9233,2,Discuss agree accept issue different speech student.,2025-03-23T04:36:44
res20,user82,rest23,ord11871,2,Ability move recent weight market although.,2024-12-28T00:21:35
res21,user162,rest48,ord37580,5,Television raise like perhaps accept executive third.,2024-11-14T07:52:24
res22,user109,rest21,ord12737,5,Section start around like call pressure.,2025-02-24T11:15:44
res23,user33,rest12,ord1953,3,Civil lay enjoy.,2024-11-26T11:48:45
res24,user82,rest19,ord38364,5,Above want answer TV somebody.,2025-04-27T15:17:45
res25,user94,rest40,ord45493,5,Time nation week trouble.,2025-01-07T04:57:04
res26,user163,rest22,ord19888,5,Lot total meet a executive.,2025-02-06T13:24:59
res27,user60,rest28,ord11342,2,Agency civil clearly for able.,2024-12-06T05:49:41
res28,user107,rest41,ord31001,5,Fire contain have cause movie authority.,2025-04-16T23:28:20
